path|original_file|language|is_original_language|duration|training_data|model_name|architecture|transcript|speaker_similarity
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/wives_and_daughters_20_f000168.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_20_f000168.wav|en|True|7.814|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|But she was more anxious to say something for herself; she was so much annoyed at the implication in Missis Gibson's last words.|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_37_f000190.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_37_f000190.wav|en|True|1.452|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|What for, Jane?|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/northandsouth_27_f000118.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_27_f000118.wav|en|True|5.690|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|Yoll come and see her, maam. She would ha thought it a great compliment, I know.|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/midnight_passenger_13_f000103.wav|en_US/by_book/female/mary_ann/midnight_passenger/wavs/midnight_passenger_13_f000103.wav|en|True|10.577|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|The motley crowd pouring along the Bowery at ten o'clock swept past the Cooper Union on either side in search of the garish delights of the oblong oasis of pleasure.|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/pink_fairy_book_33_f000160.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_33_f000160.wav|en|True|3.495|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|and by-and-bye he was able to live in the air altogether.|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_04_f000178.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_04_f000178.wav|en|True|10.461|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|with their hair combed behind their ears, and their long pinafores, and those little holland pockets outside their frocks - they are almost like poor people's children!|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/the_master_key_18_f000009.wav|en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_18_f000009.wav|en|True|7.257|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|Rob saw that he opened it to an article on The Progress of Modern Science, in which he seemed greatly interested.|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/hunters_space_03_f000058.wav|en_US/by_book/male/elliot_miller/hunters_space/wavs/hunters_space_03_f000058.wav|en|True|2.636|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|Better than yours, Jack Odin.|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/northandsouth_15_f000308.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_15_f000308.wav|en|True|6.584|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|But she did not put out her hand to him, and again he felt the omission, and set it down to pride.|-
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/pink_fairy_book_36_f000020.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_36_f000020.wav|en|True|10.752|ljspeech|tts_models/en/ljspeech/tacotron2-DCA|tacotron2-DCA|No one saw this but her waiting-woman, who threw it out of the window into the forest beside the castle. The next that came into the world was the most beautiful little prince,|-
